"address","result_lat","result_lng","match"
"8 RUE PIERRE SEMARD 03260 Saint-Germain-des-Fossés",46.206379999999996,3.432964,True
"3 RUE DU BOIS DES JARRAUX 03270 SAINT-YORRE",46.053751,3.470711,True
"LES GRIS 03400 TOULON-SUR-ALLIER",46.500746,3.36162,True
"la chapelle 03290 Dompierre-sur-Besbre",46.528056,3.669345,True
"464 ROUTE DE DIOU 03290 DOMPIERRE SUR BESBRE",46.517249,3.691465,False
"223 RUE NATIONALE 03290 DOMPIERRE SUR BESBRE",46.523035,3.679869,False
"RTE DE CHARMEIL 03300 CUSSET",46.143785,3.4378550000000003,False
"24 Rue de la République 03300 CUSSET",46.13355,3.452597,True
"rue des peupliers 03300 CUSSET",46.136586,3.436672,True
"2 route de Clermont 03310 NéRIS-LES-BAINS",46.284366,2.667329,True
"Route de Clermont 03310 Néris-les-Bains",46.283484,2.668685,True
"ROUTE DE MOULINS 03320 Lurcy-Lévis",46.7376,2.934606,False
"Avenue Jean Jaurès 03350 Cérilly",46.617146999999996,2.821052,True
"rue du pavé 03360 AINAY-LE-CHATEAU",46.705526,2.6932400000000003,True
"RELAIS DES TARTASSES 03380 LA CHAPELAUDE",46.409269,2.522583,False
"Rue Calaubys 03380 HURIEL",46.372451,2.4716400000000003,False
"2 rue des artisan 03390 MONTMARAULT",46.3236,2.96388,False
"ROUTE DE MOULINS 03390 MONTMARAULT",46.321218,2.961659,True
"28 route de Lyon 03400 YZEURE",46.554592,3.3364019999999996,True
"Route de Montbeugny 03400 YZEURE",46.556292,3.360237,True
"28 Rue BergeronVebret 03400 Yzeure",46.563657,3.35535,False
"65 Avenue des Martyrs 03410 MONTLUCON-DOMERAT",46.338082,2.5665810000000002,False
"ROUTE DE LIMOGES 03410 Domérat",46.337747,2.557492,False
"ROUTE DE PARIS 03410 SAINT-VICTOR",46.387088,2.613596,True
" Boulevard Victor Hugo 03410 DOMéRAT",46.360617,2.531735,False
"61 avenue des Martyrs 03410 DOMERAT",46.338009,2.5643740000000004,True
"Rue de la Chevêche 03410 Domérat",46.366915999999996,2.565142,True
"Lieudit La Loue 03410 Saint-Victor",46.382996999999996,2.591183,False
"8 RUE ANDRE MESSAGER 03410 DOMERAT",46.361191999999996,2.534981,True
"Route de Hérisson 03430 COSNE-D'ALLIER",46.474149,2.8223380000000002,True
"ZA LES VARENNES 03450 EBREUIL",46.118188,3.09508,False
"RN9 03500 SAINT-POURçAIN-SUR-SIOULE",46.306936,3.288457,False
"Route de Montmarault 03500 SAINT-POURçAIN-SUR-SIOULE",46.311064,3.282863,True
"Quartier Tivoli 03500 SAINT-POURCAIN-SUR-SIOULE",46.306577000000004,3.2946910000000003,False
"4 RUE ARMAND QUEROY 03500 SAULCET",46.336103,3.285561,False
"Route de Gannat 03500 Saint-Pourçain-sur-Sioule",46.302368,3.2963480000000005,True
"RN 9 03500 Saint-Pourçain-sur-Sioule",46.308471999999995,3.2878480000000003,False
"Avenue Edouard Vaillant 03600 COMMENTRY",46.294097,2.741573,True
"LA BRANDE MALICORNE 03600 COMMENTRY",46.296143,2.766059,False
"12 Rue Ambroise Croizat 03630 DéSERTINES",46.345186,2.61927,True
"12 RUE AMBROISE CROIZAT 03630 DESERTINES",46.345186,2.61927,True
"51 RUE DE LA REPUBLIQUE 03630 DESERTINES",46.355773,2.6195180000000002,True
"22 avenue de la République 03700 BELLERIVE-SUR-ALLIER",46.117649,3.410729,True
"Avenue du General de Gaulle 03700 BELLERIVE-SUR-ALLIER",46.109563,3.4217589999999998,True
"Avenue des Portes Occitanes 03800 Gannat",46.080258,3.200942,True
"Avenue de la Gare 03800 GANNAT",46.098166,3.203534,True
"6 Avenue P.Mendes france 03800 GANNAT",46.099489,3.207595,False
"77 rue des Capucins 03800 GANNAT",46.109922999999995,3.198623,False
"12 avenue des Portes Occitanes 03800 Gannat",46.079654999999995,3.2011130000000003,True
"ROUTE DE MARSEILLE 04000 DIGNE-LES-BAINS",44.070257,6.177993,True
"39 AV DE VERDUN 04000 Digne-les-Bains",44.088125,6.221991,False
"8 avenue du 8 Mai 1945 04000 Digne-les-Bains",44.089621,6.238304,True
"9 avenue des Plantiers BP201 04204 SISTERON",44.187977000000004,5.945589,False
"Route de Sisteron 04100 Manosque",43.843615,5.809952,False
"214 Avenue Frédéric Mistral 04100 MANOSQUE",43.823626000000004,5.787602,True
"Route de Volx 04100 MANOSQUE",43.843615,5.809952,False
"RN 96 04100 MANOSQUE",43.840105,5.772131,False
"Avenue Mestre Raoul Arnaud 04100 Manosque",43.830631,5.7816220000000005,False
"214 AV. FREDERIC MISTRAL 04100 MANOSQUE",43.823626000000004,5.787602,False
