"id","superseded_by"
78660002,78660004
78680003,78680004
78690001,78690003
78710001,78710002
78760003,78760004
78800002,78800006
79000006,79000013
79000007,79000012
79100004,79100006
79180001,79180002
79230001,79230005
79500001,79500004
79800001,79800011
80000003,80000013
80000017,80000018
80100006,80100010
80140002,80140006
80220002,80190003
80230001,80230004
80300002,80300006
80500002,80500004
80700002,62128009
80700007,80700009
81250001,81250003
81710001,81710002
82000001,82000016
82000004,82000015
82270001,82270002
83000001,83000011
83000007,83000010
83000008,83000012
83100004,83100006
83110001,83110002
83140002,83140007
83140003,83140008
83170001,83170012
83170004,83170011
83170008,83170010
83190002,83190006
83210002,83210006
83230002,83230006
83250009,83250011
83310004,83310011
83340001,83340010
83340009,83340011
83380001,83380002
83400010,83400013
83470005,83470006
83480002,83480006
83560002,83560004
83600003,83600020
83600017,83600021
83720003,83720001
84000002,84000020
84000005,84000021
84000010,84000018
84000013,84000019
84100007,84100009
84130004,84130013
84130008,84130011
84140003,84140006
84140004,84140007
84300001,84300011
84400001,84400003
84500005,84500006
84700001,84700005
84700003,84700006
84800002,84800004
85000011,85000010
86000005,86000024
86000017,86000022
86100014,86100013
86360005,86360006
86550002,86550003
87000011,87000027
87000012,87000023
87100005,87100012
88000005,88000009
88140001,88140006
88200004,88200015
88400004,88400005
89100005,89100014
89116001,89116003
