"id","Nom","Marque","address","latitude","longitude","services","automate_h24","is_closed_day","business_hours","gas_price","gas_last_update"
"44119005","RELAIS TREILLIERES","Total","ROUTE NATIONALE 137  AIRE DE TREILLIÈRES 44119 TREILLIERES","osm_lat      47.3359
Name: 326, dtype: object","osm_lng     -1.65278
Name: 326, dtype: object","Carburant additivé|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Piste poids lourds",False,False,"",0.959,"2018-11-16 09:00:00"
"22000011","RELAIS APOLLINAIRE","Total Access","RUE GUILLAUME APOLLINAIRE 22000 Saint-Brieuc","osm_lat      48.4978
Name: 327, dtype: object","osm_lng     -2.74538
Name: 327, dtype: object","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel",True,False,"",0.802,"2018-11-17 00:01:00"
"54182001","CORA HOUDEMONT","CORA","RD 570 54180 HEILLECOURT","osm_lat      48.641
Name: 328, dtype: object","osm_lng      6.18305
Name: 328, dtype: object","Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB",True,False,"",0.76,"2018-10-08 07:40:00"
"93800006","RELAIS CLAUD.DEBUSSY","Total","53 ROUTE DE SAINT LEU 93800 Épinay-sur-Seine","osm_lat      48.9484
Name: 330, dtype: object","osm_lng      2.34276
Name: 330, dtype: object","Restauration à emporter|Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel",True,False,"",0.899,"2018-11-17 00:01:00"
"36150004","BP A20 AIRE DES CHAMPS D' AMOUR","BP","A20 AIRE DES CHAMPS D' AMOUR 36150 Meunet-sur-Vatan","osm_lat      47.0903
Name: 332, dtype: object","osm_lng      1.84498
Name: 332, dtype: object","Restauration à emporter|Carburant additivé|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Aire de camping-cars|Piste poids lourds",False,False,"",0.999,"2018-10-03 06:00:00"
"13124002","ROMPETROL Peypin","ROMPETROL","A52 Aire de Peypin 13124 PEYPIN","osm_lat      43.401
Name: 334, dtype: object","osm_lng      5.57587
Name: 334, dtype: object","Restauration à emporter|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire",False,False,"",0.974,"2018-11-16 16:00:00"
"52200014","RELAIS DE LA COLLINIERE","Total Access","FAUBOURG DE LA COLLINIERE 52200 LANGRES","osm_lat      47.8699
Name: 335, dtype: object","osm_lng      5.3287
Name: 335, dtype: object","Carburant additivé|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Relais colis|Piste poids lourds",False,False,"",0.859,"2018-11-17 00:01:00"
"77165006","RELAIS DU SAUVOY","Total","RN 330  ROUTE DE MEAUX 77165 ST SOUPPLETS","osm_lat      49.0336
Name: 336, dtype: object","osm_lng      2.80466
Name: 336, dtype: object","",False,False,"",0.899,"2018-11-17 00:01:00"
"3410001","AUCHAN CARBURANT MONTLUCON-DOMERAT","Auchan","65 Avenue des Martyrs 03410 MONTLUCON-DOMERAT","osm_lat      46.3384
Name: 337, dtype: object","osm_lng      2.5674
Name: 337, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Bar|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Vente de pétrole lampant",True,False,"",0.72,"2018-11-16 13:15:12"
"57140003","ESSO SAINT-REMY","Esso","AUTOROUTE A31 57140 Woippy","osm_lat      49.1801
Name: 338, dtype: object","osm_lng      6.17635
Name: 338, dtype: object","Restauration à emporter|Restauration sur place|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Piste poids lourds",False,False,"",1.028,"2018-10-26 15:47:03"
