"osm_obj","osm_id","osm_lat","osm_lng","osm_ref:FR:prix-carburants","osm_name","osm_brand","osm_operator","osm_opening_hours"
"node","1024643102",45.1203157,4.9857636,"26260002","","","Netto","24/7"
"node","1027013301",48.9877583,1.827116,"78820001","","Super U","Super U",""
"node","1027755880",49.598551,3.2278485,"2300002","Station Carburant Carrefour","","","24/7"
"node","1029365194",43.5902435,2.269511,"81100001","","","",""
"node","1029951010",48.9470255,2.5722085,"93290003","station carburant Carrefour Market","","","24/7"
"node","1030058664",48.8381243,2.5475313,"93160008","Station Total","Total","Total","24/7"
"node","1033226532",46.780579,1.6525102,"36250007","Relais les Terres Noires","Elf","","24/7"
"node","1033650780",48.9922701,1.6322638,"78710003","Station Carrefour","","Carrefour","24/7"
"node","1036270729",45.7018327,4.7958204,"69230005","BP","BP","","24/7"
"node","1040016874",50.7403741,1.613158,"62200004","Intermarché","","Groupement des Mousquetaires","24/7"
"node","1040016940",50.7386209,1.6237823,"62280004","","","","24/7"
"node","1041341799",50.9327201,1.825,"62100026","Total","Total","Total","24/7"
"node","1041585882",46.6448676,0.1806222,"86190001","Super U","Super U","Super U",""
"node","1041940019",43.7055329,5.203547,"13370006","Station du Moulin Pont-Royal","Intermarché","","24/7"
"node","1050190572",43.3933,6.3216229,"83340010","","Total Access","Elf","24/7"
"node","1050192254",43.3933779,6.3310316,"83340005","Intermarché","","Groupement des Mousquetaires","24/7"
"node","1051341546",42.8776159,2.1861569,"11500004","Lopez et Fils","","","24/7"
"node","1055058071",44.0565683,5.0579608,"84200009","","Elan","","24/7"
"node","1056951231",50.7927795,1.6865833,"62250010","Aire de L'Epitre","","Total","24/7"
"node","1061513382",48.9879866,1.8201674,"78440001","","","","24/7"
"node","1063810179",49.0108027,1.8998012,"78250002","","","","24/7"
"node","1064315210",47.231686,-0.1189332,"49400006","","Carrefour","",""
"node","1064649810",50.6290445,1.6455029,"62152001","Carrefour","","",""
"node","1066699788",48.7970148,2.2856237,"92320005","","BP","","24/7"
"node","1066726508",49.0068668,1.1627058,"27000006","Intermarché","","Groupement des Mousquetaires",""
"node","1068988470",47.6197156,3.1920686,"89520002","Total","","","24/7"
"node","1068988472",47.6207541,3.1970875,"89520001","","","","24/7"
"node","1075359774",43.3464636,3.2412657,"34500028","","","","24/7"
"node","1075437513",43.9569875,2.8683029,"12400005","","Motrio","",""
"node","1079566770",47.3605483,-1.4085241,"44850002","Station U","","","24/7"
"node","1083433547",43.3555327,3.2394972,"34500007","Supermarché Casino","","","24/7"
"node","1084061532",48.9903975,1.757037,"78520002","","Carrefour","",""
"node","1084145263",47.889602,7.2267537,"68360003","","","Leader Price","24/7"
"node","1084342421",48.9907371,2.2892065,"95230004","BP","","","24/7"
"node","1084390630",48.9870622,2.2959909,"95230008","Total","","","Mo-Fr 07:00-21:00; Sa-Su 08:00-20:00"
"node","1092024037",44.1827163,2.3628047,"12800001","","Total","",""
"node","1092396165",45.0670691,6.0214823,"38520001","Total","Total","Total","24/7"
"node","1095081554",45.2459092,6.4244141,"73870003","Dyneff Saint-Julien-Mont-Denis","Dyneff","Total","24/7"
"node","1098016167",43.5437009,3.7920362,"34690006","BP Montpellier-Fabrègues","","BP","24/7"
"node","1098275893",43.5183271,0.1719366,"32230002","Super U","","Super U","24/7"
"node","1098371161",43.5033653,0.3957443,"32300001","Intermarché","","Groupement des Mousquetaires","24/7"
"node","1100305177",48.7320689,1.3410799,"28500005","","Intermarche","","24/7"
"node","1104432212",49.0126421,1.9092547,"78250003","Simply Market","Simply Market","Simply Market","24/7"
"node","1105671100",48.7164822,1.3680246,"28500001","","","",""
"node","1109326044",47.3899142,2.9232672,"58200002","","Carrefour Market","",""
"node","1109478176",47.2134999,-1.7188672,"44220003","","","Total",""
"node","1109773318",45.3981217,2.0358989,"19300003","","Total","","24/7"
"node","1109773325",45.4020821,2.0410886,"19300001","","Esso","","24/7"
"node","1110697471",43.2948559,5.441561,"13012001","Casino Carburant","","","24/7"
"node","1113276013",43.9279758,4.8765333,"84140006","","Total","","24/7"
"node","1113870025",48.1502755,4.2618445,"10260001","","Total","","24/7"
"node","1114119802",48.1064337,4.377003,"10110001","Esso","Esso","","24/7"
"node","1118670880",48.7281648,2.2456072,"91300020","Station Total Access","","Total","24/7"
"node","1119424825",44.1754629,5.1293858,"84340002","","Elan","","24/7"
"node","1119984196",48.8281523,2.2728394,"75015011","","Esso Express","","24/7"
"node","1120427614",45.6647867,0.5010088,"16220001","Intermarché","","Groupement des Mousquetaires","24/7"
"node","1122517344",48.6496468,2.4169333,"91130006","Relais Ris Orangis Libération","Total Access","Total","24/7"
"node","1123183347",48.7983133,2.4809332,"94100011","bp","","","24/7"
"node","1123183350",48.7984244,2.4765364,"94100012","Total","","",""
"node","1124760838",45.7380582,4.8942629,"69500008","Total Access","Total","Total","24/7"
"node","1125926216",47.8560402,-3.8571429,"29910002","","","",""
"node","1135275429",46.6322761,1.0629221,"36300002","","Avia","",""
"node","1136060445",44.9188477,-0.2420407,"33500006","Esso","","Esso","24/7"
"node","1137767259",44.8562494,-0.6545077,"33700012","","","","24/7"
"node","1139317871",43.1767876,-0.2381489,"64800004","Elan","Elan","SARL FERRAN","24/7"
"node","1139438561",43.152092,-0.2249622,"64800003","Garage de la Plaine","Elan","SARL Garage de la Plaine","24/7"
"node","1139600074",47.8308075,1.9279339,"45100006","","","Esso","24/7"
"node","1143999373",43.4782925,5.5376885,"13710002","Esso Express","","","24/7"
"node","1146884578",47.3023406,0.889417,"37270006","","","","24/7"
"node","1147976545",47.3911801,0.6973529,"37000015","Total","Total","Total",""
"node","1152945105",46.1982876,-1.4365585,"17670002","Total","","",""
"node","1152945151",46.2036653,-1.512237,"17590002","La Station U","","","24/7"
"node","1154296705",47.0725671,2.3958106,"18000018","Relais Total Bourges Camping","","Total","24/7"
"node","1156622406",48.8804945,2.2062218,"92000021","Total Access","Total","","24/7"
"node","1156622524",48.8816166,2.2056225,"92000020","Total Access","Total","","24/7"
"node","1157452150",48.8287756,1.9933104,"78340005","Station Total","","Total","24/7"
"node","1157625626",46.7397154,5.9164139,"39300004","Intermarché","","Groupement des Mousquetaires","24/7"
"node","1158350125",48.7517354,2.5028663,"94471001","","","","24/7"
"node","1160944847",49.2343141,2.8865144,"60800002","Monoprix","Monoprix","Groupe Casino",""
"node","1163509860",48.7503034,2.3892991,"94537002","Total","","",""
"node","1167753277",47.6059744,7.0039724,"90130001","Dats","","","24/7"
"node","1168644920",45.1671898,1.5497233,"19100015","","Esso","","24/7"
"node","1168835124",48.8682718,2.1990573,"92500012","Total","Total","Total","24/7"
"node","1172665573",48.8168431,2.3604808,"75013022","Relais Total Porte D'Italie","","Total","24/7"
