"id","lat","lng","adresse","cp","ville","services","automate_h24","active","address","lower_address"
"78130008",48.99228,1.91378,"30, avenue Paul Raoult","78130","LES MUREAUX","Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)",False,False,"30 avenue Paul Raoult 78130 LES MUREAUX","30 avenue paul raoult 78130 les mureaux"
"78130010",48.9924,1.91384,"29 Avenue Paul Raoult","78130","LES MUREAUX","Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique",True,False,"29 Avenue Paul Raoult 78130 LES MUREAUX","29 avenue paul raoult 78130 les mureaux"
"78130011",48.9924,1.91384,"29 AV. PAUL RAOULT","78130","LES MUREAUX","",False,True,"29 AV. PAUL RAOULT 78130 LES MUREAUX","29 av. paul raoult 78130 les mureaux"
"78140001",48.783,2.215,"4 Rue Dewoitine","78140","VéLIZY-VILLACOUBLAY","Carburant additivé|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True,True,"4 Rue Dewoitine 78140 VéLIZY-VILLACOUBLAY","4 rue dewoitine 78140 vélizy-villacoublay"
"78140002",48.781,2.183,"27 Avenue Louis Bréguet","78140","Vélizy-Villacoublay","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"27 Avenue Louis Bréguet 78140 Vélizy-Villacoublay","27 avenue louis bréguet 78140 vélizy-villacoublay"
"78140004",48.770962,2.227656,"RTE 18 VAL DE GRACE","78140","VéLIZY-VILLACOUBLAY","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Piste poids lourds",False,False,"RTE 18 VAL DE GRACE 78140 VéLIZY-VILLACOUBLAY","rte 18 val de grace 78140 vélizy-villacoublay"
"78140005",48.78349,2.18878,"A 86 - AIRE DE VELIZY OUEST","78140","VéLIZY-VILLACOUBLAY","Carburant additivé|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)",False,False,"A 86  AIRE DE VELIZY OUEST 78140 VéLIZY-VILLACOUBLAY","a 86  aire de velizy ouest 78140 vélizy-villacoublay"
"78140006",48.78431,2.21912,"2 Avenue de l'Europe","78140","Vélizy-Villacoublay","Restauration à emporter|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Automate CB|Lavage automatique",True,False,"2 Avenue de l'Europe 78140 Vélizy-Villacoublay","2 avenue de l'europe 78140 vélizy-villacoublay"
"78140008",48.78,2.191,"AUTOROUTE A86 - AIRE DE VELIZY OUEST","78140","Vélizy-Villacoublay","Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds",False,True,"AUTOROUTE A86  AIRE DE VELIZY OUEST 78140 Vélizy-Villacoublay","autoroute a86  aire de velizy ouest 78140 vélizy-villacoublay"
"78140009",48.772662,2.223592,"AIRE DU VAL DE GRACE","78140","VELIZY-VILLACOUBLAY","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)",False,True,"AIRE DU VAL DE GRACE 78140 VELIZY-VILLACOUBLAY","aire du val de grace 78140 velizy-villacoublay"
"78140010",48.780218,2.189838,"27,RUE LOUIS BREGUET","78140","VELIZY VILLACOUBLAY","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Lavage automatique|Lavage manuel",False,True,"27RUE LOUIS BREGUET 78140 VELIZY VILLACOUBLAY","27rue louis breguet 78140 velizy villacoublay"
"78150001",48.836122,2.097544,"18 ROUTE DE MAULE- D307","78150","ROCQUENCOURT","Carburant additivé|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True,False,"18 ROUTE DE MAULE D307 78150 ROCQUENCOURT","18 route de maule d307 78150 rocquencourt"
"78150002",48.82327,2.12772,"90 Rue de Versailles","78150","LE CHESNAY","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True,False,"90 Rue de Versailles 78150 LE CHESNAY","90 rue de versailles 78150 le chesnay"
"78150003",48.82392,2.12784,"100 Rue de Versailles","78150","Le Chesnay","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"100 Rue de Versailles 78150 Le Chesnay","100 rue de versailles 78150 le chesnay"
"78150004",48.83672,2.10472,"ANGLE RN 307 ET 317","78150","Rocquencourt","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"ANGLE RN 307 ET 317 78150 Rocquencourt","angle rn 307 et 317 78150 rocquencourt"
"78150005",48.835,2.129,"145, rue de Versailles","78150","LE CHESNAY","Carburant additivé|Boutique alimentaire|Location de véhicule",False,True,"145 rue de Versailles 78150 LE CHESNAY","145 rue de versailles 78150 le chesnay"
"78150007",48.81865,2.11953,"52 bld st antoine","78150","LE CHESNAY","Boutique non alimentaire|Automate CB",True,True,"52 bld st antoine 78150 LE CHESNAY","52 bld st antoine 78150 le chesnay"
"78150008",48.82389,2.12779,"100 Rue de Versailles","78150","Le Chesnay","Restauration à emporter|Carburant additivé|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"100 Rue de Versailles 78150 Le Chesnay","100 rue de versailles 78150 le chesnay"
"78150009",48.83463,2.1143,"ANGLE RN 307 ET 317","78150","ROCQUENCOURT","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"ANGLE RN 307 ET 317 78150 ROCQUENCOURT","angle rn 307 et 317 78150 rocquencourt"
"78150010",48.83701,2.1045,"ANGLE RN 307 ET 317","78150","ROCQUENCOURT","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"ANGLE RN 307 ET 317 78150 ROCQUENCOURT","angle rn 307 et 317 78150 rocquencourt"
"78150011",48.82351,2.12777,"100 Rue de Versailles","78150","Le Chesnay","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,True,"100 Rue de Versailles 78150 Le Chesnay","100 rue de versailles 78150 le chesnay"
"78150012",48.82327,2.12772,"90/94 RUE DE VERSAILLES","78150","LE CHESNAY","",False,True,"90/94 RUE DE VERSAILLES 78150 LE CHESNAY","90/94 rue de versailles 78150 le chesnay"
"78150013",48.836122,2.097544,"18 ROUTE DE MAULE- D 307","78150","ROCQUENCOURT","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True,True,"18 ROUTE DE MAULE D 307 78150 ROCQUENCOURT","18 route de maule d 307 78150 rocquencourt"
"78150014",48.836874,2.104708,"ANGLE RN 307 ET 317","78150","ROCQUENCOURT","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,True,"ANGLE RN 307 ET 317 78150 ROCQUENCOURT","angle rn 307 et 317 78150 rocquencourt"
"78160001",48.87575,2.10357,"ROUTE DE VERSAILLES","78160","MARLY-LE-ROI","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB",True,False,"ROUTE DE VERSAILLES 78160 MARLY-LE-ROI","route de versailles 78160 marly-le-roi"
"78160002",48.87575,2.10357,"ROUTE DE VERSAILLES","78160","Marly-le-Roi","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Automate CB",True,True,"ROUTE DE VERSAILLES 78160 Marly-le-Roi","route de versailles 78160 marly-le-roi"
"78170001",48.847778,2.149425,"10 Route des Puits","78170","LA CELLE-SAINT-CLOUD","Restauration à emporter|Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"10 Route des Puits 78170 LA CELLE-SAINT-CLOUD","10 route des puits 78170 la celle-saint-cloud"
"78170002",48.83664,2.12958,"64 Avenue Lucien-René Duchesne","78170","La Celle-Saint-Cloud","",False,True,"64 Avenue LucienRené Duchesne 78170 La Celle-Saint-Cloud","64 avenue lucienrené duchesne 78170 la celle-saint-cloud"
"78170005",48.85743,2.14492,"24 Avenue de la Jonchère","78170","LA CELLE-SAINT-CLOUD","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"24 Avenue de la Jonchère 78170 LA CELLE-SAINT-CLOUD","24 avenue de la jonchère 78170 la celle-saint-cloud"
"78170006",48.85743,2.14492,"24 Avenue de la Jonchère","78170","LA CELLE-SAINT-CLOUD","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,True,"24 Avenue de la Jonchère 78170 LA CELLE-SAINT-CLOUD","24 avenue de la jonchère 78170 la celle-saint-cloud"
"78175001",48.903,2.084,"130 Avenue du Maréchal Foch","78100","SAINT-GERMAIN-EN-LAYE","Carburant additivé|Toilettes publiques|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Lavage automatique",False,True,"130 Avenue du Maréchal Foch 78100 SAINT-GERMAIN-EN-LAYE","130 avenue du maréchal foch 78100 saint-germain-en-laye"
"78180001",48.77785,2.01914,"11 Avenue des Prés","78180","MONTIGNY-LE-BRETONNEUX","Carburant additivé|Aire de camping-cars|Piste poids lourds|Automate CB",True,False,"11 Avenue des Prés 78180 MONTIGNY-LE-BRETONNEUX","11 avenue des prés 78180 montigny-le-bretonneux"
"78180002",48.798,2.048,"13 Avenue Ampère","78180","MONTIGNY-LE-BRETONNEUX","Carburant additivé|Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Services réparation / entretien|Lavage automatique",False,True,"13 Avenue Ampère 78180 MONTIGNY-LE-BRETONNEUX","13 avenue ampère 78180 montigny-le-bretonneux"
"78180005",48.78093,2.04047,"69 Boulevard Vauban","78180","MONTIGNY-LE-BRETONNEUX","Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique|Lavage manuel",False,False,"69 Boulevard Vauban 78180 MONTIGNY-LE-BRETONNEUX","69 boulevard vauban 78180 montigny-le-bretonneux"
"78180007",48.78093,2.04047,"69 Boulevard Vauban","78180","MONTIGNY-LE-BRETONNEUX","Restauration à emporter|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Relais colis|Automate CB|Lavage automatique|Lavage manuel",True,False,"69 Boulevard Vauban 78180 MONTIGNY-LE-BRETONNEUX","69 boulevard vauban 78180 montigny-le-bretonneux"
